trace_id,event_id,event_type,conversation_id,run_id,span_id,level,success,error,sampled,source_file,agent_name,agent_role,agent_version,timestamp_start,timestamp_end,latency_ms,timestamp_iso,throughput_tokens_per_sec,message,metric_name,metric_value,metric_unit,error_type,environment,user,metadata_json,action_type,action_name,action_input,action_output,action_success,model_backend,model_name,input_tokens,output_tokens,total_tokens,timestamp
6652c09e-4f43-4a34-8a5f-d359b85bab9f,88ee9e4d-fe96-4458-ad4f-3d5aeb460a43,log,,,,info,True,,True,simple_agent_logs_20251106_172501.jsonl,SimpleTestAgent,,,1762449901.8993359,,,2025-11-06T17:25:01.899336,,Agent starting up,,,,,,,"{""message"": ""Agent starting up"", ""version"": ""1.0""}",,,,,,,,,,,2025-11-06 17:25:01.899336
178114b4-503e-4b30-a334-52a5458afc80,890286ec-9131-41ba-a226-b42aa552563a,log,,,,info,True,,True,simple_agent_logs_20251106_172501.jsonl,SimpleTestAgent,,,1762449901.899789,,,2025-11-06T17:25:01.899789,,Configuration loaded,,,,,,,"{""message"": ""Configuration loaded"", ""config"": ""test.yaml""}",,,,,,,,,,,2025-11-06 17:25:01.899789
16f8a610-6612-4cb0-ac00-0d5c864280a7,ec9f6576-45e5-44df-83e8-bf0c20a43cf1,agent_run_start,e04e1448-54eb-4d29-ba33-43db65de2c5d,e04e1448-54eb-4d29-ba33-43db65de2c5d,b13a6c65-4071-41d8-a662-3835981d66f0,info,True,,True,simple_agent_logs_20251106_172501.jsonl,SimpleTestAgent,,,1762449902.005283,,,2025-11-06T17:25:02.005283,,,,,,,local_test,test_user,"{""environment"": ""local_test"", ""user"": ""test_user""}",agent_run,weather_task,{},,True,,,,,,2025-11-06 17:25:02.005283
4481a3fe-0532-4724-8e8f-1786b9e95ba6,57380bf5-997a-4984-85cd-cf1bec2d6f2d,log,e04e1448-54eb-4d29-ba33-43db65de2c5d,e04e1448-54eb-4d29-ba33-43db65de2c5d,b13a6c65-4071-41d8-a662-3835981d66f0,info,True,,True,simple_agent_logs_20251106_172501.jsonl,SimpleTestAgent,,,1762449902.006037,,,2025-11-06T17:25:02.006037,,Processing weather request,,,,,,,"{""message"": ""Processing weather request"", ""step"": ""data_collection""}",,,,,,,,,,,2025-11-06 17:25:02.006037
c6a5f71f-3786-4cdb-87a2-1f5efbf01c39,1297ccdc-0d98-474a-9fe9-1f8260675714,model_call_start,,,,info,True,,True,simple_agent_logs_20251106_172501.jsonl,SimpleTestAgent,,,1762449902.006546,1762449902.1116328,105.0868034362793,2025-11-06T17:25:02.006546,,,,,,,local_test,test_user,"{""environment"": ""local_test"", ""user"": ""test_user""}",,,,,,openai,gpt-4,,,,2025-11-06 17:25:02.006546
6d052f04-ba4f-4b84-9623-751a4d2c4e68,6f56edce-8c69-4e6f-9216-7c40128b774d,log,e04e1448-54eb-4d29-ba33-43db65de2c5d,e04e1448-54eb-4d29-ba33-43db65de2c5d,b13a6c65-4071-41d8-a662-3835981d66f0,info,True,,True,simple_agent_logs_20251106_172501.jsonl,SimpleTestAgent,,,1762449902.1131809,,,2025-11-06T17:25:02.113181,,Weather data processed,,,,,,,"{""message"": ""Weather data processed"", ""result"": ""success"", ""temperature"": ""22\u00b0C""}",,,,,,,,,,,2025-11-06 17:25:02.113181
e99d5678-efdd-4c10-b9fc-24fd05a715c6,53fdac09-079d-4faf-a2e7-5029f56250ad,agent_run_end,e04e1448-54eb-4d29-ba33-43db65de2c5d,e04e1448-54eb-4d29-ba33-43db65de2c5d,b13a6c65-4071-41d8-a662-3835981d66f0,info,True,,True,simple_agent_logs_20251106_172501.jsonl,SimpleTestAgent,,,1762449902.0052469,1762449902.113853,108.60610008239746,2025-11-06T17:25:02.005247,,,,,,,local_test,test_user,"{""environment"": ""local_test"", ""user"": ""test_user""}",agent_run,weather_task,,"{'task_type': 'weather_lookup', 'location': 'San Francisco', 'result': 'completed'}",True,,,,,,2025-11-06 17:25:02.005247
3c1a7597-09d5-422c-9679-c8ebb226bb91,2cd6d086-7205-48c3-97e5-380e83fdcebc,error,,,,error,False,Simulated API timeout,True,simple_agent_logs_20251106_172501.jsonl,SimpleTestAgent,,,1762449902.221706,,,2025-11-06T17:25:02.221706,,,,,,ValueError,,,"{""error_type"": ""ValueError"", ""error_message"": ""Simulated API timeout"", ""context"": {""retry_count"": 1, ""fallback"": true}}",,,,,,,,,,,2025-11-06 17:25:02.221706
72b394f7-9d8e-47cb-920e-8b2c4e1e6bed,26acaca2-f259-4f9b-9e59-fd4ad3b44006,metric,,,,info,True,,True,simple_agent_logs_20251106_172501.jsonl,SimpleTestAgent,,,1762449902.2238321,,,2025-11-06T17:25:02.223832,,,response_time,250.5,ms,,,,"{""metric_name"": ""response_time"", ""value"": 250.5, ""unit"": ""ms""}",,,,,,,,,,,2025-11-06 17:25:02.223832
4cfb353b-f526-4eae-8f89-7a837b3af1fd,133249fa-78e0-42fb-8bc9-6b8bc63668d1,metric,,,,info,True,,True,simple_agent_logs_20251106_172501.jsonl,SimpleTestAgent,,,1762449902.2250931,,,2025-11-06T17:25:02.225093,,,tokens_used,68.0,tokens,,,,"{""metric_name"": ""tokens_used"", ""value"": 68, ""unit"": ""tokens""}",,,,,,,,,,,2025-11-06 17:25:02.225093
56c00b80-5d67-4f18-a9ac-e3547089cb9a,74b4319c-1a73-47e5-a971-eff47ed53902,log,,,,info,True,,True,simple_agent_logs_20251106_172609.jsonl,SimpleTestAgent,,,1762449969.7343,,,2025-11-06T17:26:09.734300,,Agent starting up,,,,,,,"{""message"": ""Agent starting up"", ""version"": ""1.0""}",,,,,,,,,,,2025-11-06 17:26:09.734300
1b79de86-d8b4-4fda-aa37-88047f73de6d,819a1422-7805-49b2-aa1d-38513dc368d9,log,,,,info,True,,True,simple_agent_logs_20251106_172609.jsonl,SimpleTestAgent,,,1762449969.7346098,,,2025-11-06T17:26:09.734610,,Configuration loaded,,,,,,,"{""message"": ""Configuration loaded"", ""config"": ""test.yaml""}",,,,,,,,,,,2025-11-06 17:26:09.734610
7ffb93f2-336d-4d50-b2da-8cd3ac1f55ef,8f9d668e-fd27-43be-9cd3-f3a7c3420759,agent_run_start,d85d5d28-48be-4e37-8dac-f42c24f46cda,d85d5d28-48be-4e37-8dac-f42c24f46cda,6b38dd8d-4ad9-4716-9c57-70bee974c3ad,info,True,,True,simple_agent_logs_20251106_172609.jsonl,SimpleTestAgent,,,1762449969.839905,,,2025-11-06T17:26:09.839905,,,,,,,local_test,test_user,"{""environment"": ""local_test"", ""user"": ""test_user""}",agent_run,weather_task,{},,True,,,,,,2025-11-06 17:26:09.839905
12eaef20-e95d-4836-9f40-48687da8daba,bb97bb38-4e10-4120-912a-200926c08583,log,d85d5d28-48be-4e37-8dac-f42c24f46cda,d85d5d28-48be-4e37-8dac-f42c24f46cda,6b38dd8d-4ad9-4716-9c57-70bee974c3ad,info,True,,True,simple_agent_logs_20251106_172609.jsonl,SimpleTestAgent,,,1762449969.8401868,,,2025-11-06T17:26:09.840187,,Processing weather request,,,,,,,"{""message"": ""Processing weather request"", ""step"": ""data_collection""}",,,,,,,,,,,2025-11-06 17:26:09.840187
3e1caa75-a902-435f-8cbe-1efec76a7bfc,5c0b22ac-481d-4b7f-ad26-87505c07fae2,model_call_start,,,,info,True,,True,simple_agent_logs_20251106_172609.jsonl,SimpleTestAgent,,,1762449969.8403258,1762449969.942671,102.34522819519043,2025-11-06T17:26:09.840326,,,,,,,local_test,test_user,"{""environment"": ""local_test"", ""user"": ""test_user""}",,,,,,openai,gpt-4,,,,2025-11-06 17:26:09.840326
50f50632-e4b5-4042-94e4-29b66f5a5b8f,ebde0dac-fb28-4306-8ad5-35e7ad5ffbd5,log,d85d5d28-48be-4e37-8dac-f42c24f46cda,d85d5d28-48be-4e37-8dac-f42c24f46cda,6b38dd8d-4ad9-4716-9c57-70bee974c3ad,info,True,,True,simple_agent_logs_20251106_172609.jsonl,SimpleTestAgent,,,1762449969.943091,,,2025-11-06T17:26:09.943091,,Weather data processed,,,,,,,"{""message"": ""Weather data processed"", ""result"": ""success"", ""temperature"": ""22\u00b0C""}",,,,,,,,,,,2025-11-06 17:26:09.943091
493e4c54-5f8f-4ea4-936e-999e9b153242,7ec8f20d-98b9-43d7-9638-62bda1f78976,agent_run_end,d85d5d28-48be-4e37-8dac-f42c24f46cda,d85d5d28-48be-4e37-8dac-f42c24f46cda,6b38dd8d-4ad9-4716-9c57-70bee974c3ad,info,True,,True,simple_agent_logs_20251106_172609.jsonl,SimpleTestAgent,,,1762449969.839875,1762449969.9433348,103.45983505249023,2025-11-06T17:26:09.839875,,,,,,,local_test,test_user,"{""environment"": ""local_test"", ""user"": ""test_user""}",agent_run,weather_task,,"{'task_type': 'weather_lookup', 'location': 'San Francisco', 'result': 'completed'}",True,,,,,,2025-11-06 17:26:09.839875
03954eb9-1372-48a2-a714-53b340e97367,5105a4ed-7c91-46f1-9dfb-647838def1cb,error,,,,error,False,Simulated API timeout,True,simple_agent_logs_20251106_172609.jsonl,SimpleTestAgent,,,1762449970.0491872,,,2025-11-06T17:26:10.049187,,,,,,ValueError,,,"{""error_type"": ""ValueError"", ""error_message"": ""Simulated API timeout"", ""context"": {""retry_count"": 1, ""fallback"": true}}",,,,,,,,,,,2025-11-06 17:26:10.049187
076a522f-ebc4-43a4-8e83-ee413c868e0b,deaf6987-251f-4d93-a5dc-55337089de5e,metric,,,,info,True,,True,simple_agent_logs_20251106_172609.jsonl,SimpleTestAgent,,,1762449970.051987,,,2025-11-06T17:26:10.051987,,,response_time,250.5,ms,,,,"{""metric_name"": ""response_time"", ""value"": 250.5, ""unit"": ""ms""}",,,,,,,,,,,2025-11-06 17:26:10.051987
ca4d325d-d91d-43aa-a18b-8e6e56b79fb5,71ac06f2-14c7-442b-9e6b-a4d990737b77,metric,,,,info,True,,True,simple_agent_logs_20251106_172609.jsonl,SimpleTestAgent,,,1762449970.052813,,,2025-11-06T17:26:10.052813,,,tokens_used,68.0,tokens,,,,"{""metric_name"": ""tokens_used"", ""value"": 68, ""unit"": ""tokens""}",,,,,,,,,,,2025-11-06 17:26:10.052813
917da263-4f4b-4238-94d5-41471c99518b,cdbe1daf-b666-48d4-bad1-e96bd0d619d3,log,,,,info,True,,True,simple_agent_logs_20251106_193810.jsonl,SimpleTestAgent,,,1762457890.649909,,,2025-11-06T19:38:10.649909,,Agent starting up,,,,,,,"{""message"": ""Agent starting up"", ""version"": ""1.0""}",,,,,,,,,,,2025-11-06 19:38:10.649909
7a65ae6b-c888-487f-ad6a-d767da727dfc,af5870d1-6bbc-4938-a7a9-97b522eebf56,log,,,,info,True,,True,simple_agent_logs_20251106_193810.jsonl,SimpleTestAgent,,,1762457890.650134,,,2025-11-06T19:38:10.650134,,Configuration loaded,,,,,,,"{""message"": ""Configuration loaded"", ""config"": ""test.yaml""}",,,,,,,,,,,2025-11-06 19:38:10.650134
